lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;2272
1700;Sosnówka;Nowa Słupia;powiat kielecki;453;;;;
1701;Sośniczany;Koprzywnica;powiat sandomierski;338;;;;
1702;Sprowa;Słupia;powiat jędrzejowski;307;;;;
1703;Sroczków;Pacanów;powiat buski;365;;;;
1704;Stachura;Mniów;powiat kielecki;1;;;;
1705;Stadnicka Wola;Końskie;powiat konecki;331;;;;
1706;Staniowice;Sobków;powiat jędrzejowski;448;;;;
1707;Stanisławów;Fałków;powiat konecki;41;;;;
1708;Stanowiska;Smyków;powiat konecki;247;;;;
1709;Stanowiska;Kluczewsko;powiat włoszczowski;310;;;;
1710;Stara Dębowa Wola;Bodzechów;powiat ostrowiecki;298;;;;
1711;Stara Kuźnica;Końskie;powiat konecki;98;;;;
1712;Stara Łagowica;Iwaniska;powiat opatowski;125;;;;
1713;Stara Olszówka;Wodzisław;powiat jędrzejowski;96;;;;
1714;Stara Słupia;Nowa Słupia;powiat kielecki;851;;;;
1715;Stara Wieś;Piekoszów;powiat kielecki;1;;;;
1716;Stara Zagość;Pińczów;powiat pińczowski;333;;;;
1717;Stara Zbelutka;Łagów;powiat kielecki;438;;;;
1718;Stare Kanice;Oksa;powiat jędrzejowski;207;;;;
1719;Stare Kichary;Dwikozy;powiat sandomierski;124;;;;
1720;Stare Kotlice;Sobków;powiat jędrzejowski;210;;;;
1721;Stare Pole;Gowarczów;powiat konecki;1;;;;
1722;Starochęciny;Chęciny;powiat kielecki;586;;;;
1723;Stary Bostów;Pawłów;powiat starachowicki;395;;;;
1724;Stary Dziebałtów;Końskie;powiat konecki;424;;;;
1725;Stary Garbów;Dwikozy;powiat sandomierski;218;;;;
1726;Stary Grzybów;Stąporków;powiat konecki;1;;;;
1727;Stary Janów;Stąporków;powiat konecki;1;;;;
1728;Stary Jawor;Pawłów;powiat starachowicki;99;;;;
1729;Stary Kazanów;Końskie;powiat konecki;401;;;;
1730;Stary Korczyn;Nowy Korczyn;powiat buski;231;;;;
1731;Stary Sokołów;Końskie;powiat konecki;358;;;;
1732;Stary Węgrzynów;Słupia;powiat jędrzejowski;286;;;;
1733;Starzechowice;Fałków;powiat konecki;262;;;;
1734;Staw Kunowski;Brody;powiat starachowicki;294;;;;
1735;Stawiany;Kije;powiat pińczowski;291;;;;
1736;Stawiszyce;Złota;powiat pińczowski;354;;;;
1737;Stawy;Imielno;powiat jędrzejowski;339;;;;
1738;Stefanówek;Staszów;powiat staszowski;150;;;;
1739;Sternalice;Lipnik;powiat opatowski;179;;;;
1740;Stępocice;Działoszyce;powiat pińczowski;96;;;;
1741;Stobiec;Iwaniska;powiat opatowski;286;;;;
1742;Stodoły-Kolonie;Wojciechowice;powiat opatowski;281;;;;
1743;Stodoły;Wojciechowice;powiat opatowski;271;;;;
1744;Stojanowice;Bejsce;powiat kazimierski;179;;;;
1745;Stojewsko;Krasocin;powiat włoszczowski;195;;;;
1746;Stoki Duże;Ćmielów;powiat ostrowiecki;79;;;;
1747;Stoki Małe;Ćmielów;powiat ostrowiecki;51;;;;
1748;Stoki Stare;Ćmielów;powiat ostrowiecki;78;;;;
1749;Stradlice;Kazimierza Wielka;powiat kazimierski;253;;;;
1750;Stradów;Czarnocin;powiat kazimierski;124;;;;
1751;Straszów;Mniów;powiat kielecki;451;;;;
1752;Strawczyn;Strawczyn;powiat kielecki;1239;;;;
1753;Strawczynek;Strawczyn;powiat kielecki;1199;;;;
1754;Strażnica;Smyków;powiat konecki;58;;;;
1755;Strażnik;Solec-Zdrój;powiat buski;121;;;;
1756;Strączków;Samborzec;powiat sandomierski;152;;;;
1757;Strochcice;Samborzec;powiat sandomierski;120;;;;
1758;Strojnów;Pierzchnica;powiat kielecki;158;;;;
1759;Stropieszyn;Czarnocin;powiat kazimierski;47;;;;
1760;Strożyska;Nowy Korczyn;powiat buski;337;;;;
1761;Stróża;Ożarów;powiat opatowski;96;;;;
1762;Strupice;Waśniów;powiat ostrowiecki;106;;;;
1763;Strużki;Osiek;powiat staszowski;105;;;;
1764;Stryczowice;Waśniów;powiat ostrowiecki;141;;;;
1765;Strzałków;Stopnica;powiat buski;254;;;;
1766;Strzegom;Rytwiany;powiat staszowski;416;;;;
1767;Strzegomek;Rytwiany;powiat staszowski;328;;;;
1768;Strzelce;Oleśnica;powiat staszowski;286;;;;
1769;Strzeszkowice;Wodzisław;powiat jędrzejowski;133;;;;
1770;Strzęboszów;Ruda Maleniecka;powiat konecki;56;;;;
1771;Strzyżowice;Opatów;powiat opatowski;339;;;;
1772;Studzianki;Lipnik;powiat opatowski;59;;;;
1773;Studzieniec;Fałków;powiat konecki;111;;;;
1774;Styków;Brody;powiat starachowicki;692;;;;
1775;Sucharzów;Obrazów;powiat sandomierski;23;;;;
1776;Suchodółka;Ożarów;powiat opatowski;234;;;;
