Miasto;Powiat;Województwo;Populacja;Obszar;Status;Szansa;IleNiepustych;979
Krasnystaw;powiat krasnostawski;lubelskie;18169;42,10;0;5;;
Wadowice;powiat wadowicki;małopolskie;18074;10,50;0;5;;
Chodzież;powiat chodzieski;wielkopolskie;17976;12,80;0;5;;
Nakło nad Notecią;powiat nakielski;kujawsko-pomorskie;17809;10,80;0;5;;
Sokółka;powiat sokólski;podlaskie;17749;18,60;0;5;;
Oborniki;powiat obornicki;wielkopolskie;17709;14,10;0;5;;
Kostrzyn nad Odrą;powiat gorzowski;lubuskie;17659;46,10;0;5;;
Sierpc;powiat sierpecki;mazowieckie;17635;18,60;0;5;;
Łańcut;powiat łańcucki;podkarpackie;17590;19,40;0;5;;
Pionki;powiat radomski;mazowieckie;17581;18,40;0;5;;
Garwolin;powiat garwoliński;mazowieckie;17566;22,10;0;5;;
Radlin;powiat wodzisławski;śląskie;17486;12,50;0;5;;
Międzyrzecz;powiat międzyrzecki;lubuskie;17465;10,30;0;5;;
Zielonka;powiat wołomiński;mazowieckie;17457;79,50;0;5;;
Strzelce Opolskie;powiat strzelecki;opolskie;17447;30,00;0;5;;
Łomianki;powiat warszawski zachodni;mazowieckie;17091;8,40;0;5;;
Rawa Mazowiecka;powiat rawski;łódzkie;16980;14,30;0;5;;
Hrubieszów;powiat hrubieszowski;lubelskie;16885;33,00;0;5;;
Przasnysz;powiat przasnyski;mazowieckie;16884;25,20;0;5;;
Braniewo;powiat braniewski;warmińsko-mazurskie;16876;12,40;0;5;;
Radzionków;powiat tarnogórski;śląskie;16851;13,20;0;5;;
Trzcianka;powiat czarnkowsko-trzcianecki;wielkopolskie;16842;18,30;0;5;;
Pleszew;powiat pleszewski;wielkopolskie;16792;13,40;0;5;;
Bogatynia;powiat zgorzelecki;dolnośląskie;16781;59,90;0;5;;
Bytów;powiat bytowski;pomorskie;16730;8,70;0;5;;
Konstancin-Jeziorna;powiat piaseczyński;mazowieckie;16709;17,70;0;5;;
Lędziny;powiat bieruńsko-lędziński;śląskie;16704;31,70;0;5;;
Libiąż;powiat chrzanowski;małopolskie;16694;35,90;0;5;;
Łask;powiat łaski;łódzkie;16687;15,70;0;5;;
Namysłów;powiat namysłowski;opolskie;16672;22,60;0;5;;
Brzesko;powiat brzeski;małopolskie;16665;11,90;0;5;;
Grójec;powiat grójecki;mazowieckie;16652;8,60;0;5;;
Kozienice;powiat kozienicki;mazowieckie;16630;10,50;0;5;;
Milanówek;powiat grodziski;mazowieckie;16508;13,40;0;5;;
Słubice;powiat słubicki;lubuskie;16470;19,20;0;5;;
Międzyrzec Podlaski;powiat bialski;lubelskie;16468;20,00;0;5;;
Sulechów;powiat zielonogórski;lubuskie;16360;6,90;0;5;;
Gubin;powiat krośnieński;lubuskie;16321;20,70;0;5;;
Nowogard;powiat goleniowski;zachodniopomorskie;16264;12,60;0;5;;
Olecko;powiat olecki;warmińsko-mazurskie;16156;11,50;0;5;;
Gryfice;powiat gryficki;zachodniopomorskie;16040;12,40;0;5;;
Ropczyce;powiat ropczycko-sędziszowski;podkarpackie;15912;47,10;0;5;;
Ustroń;powiat cieszyński;śląskie;15875;59,00;0;5;;
Rypin;powiat rypiński;kujawsko-pomorskie;15820;11,00;0;5;;
Krapkowice;powiat krapkowicki;opolskie;15745;21,00;0;5;;
Strzegom;powiat świdnicki;dolnośląskie;15684;20,50;0;5;;
Solec Kujawski;powiat bydgoski;kujawsko-pomorskie;15550;18,70;0;5;;
Dęblin;powiat rycki;lubelskie;15505;38,30;0;5;;
Jelcz-Laskowice;powiat oławski;dolnośląskie;15474;17,10;0;5;;
Lidzbark Warmiński;powiat lidzbarski;warmińsko-mazurskie;15379;14,40;0;5;;
Busko-Zdrój;powiat buski;świętokrzyskie;15310;12,30;0;5;;
Łapy;powiat białostocki;podlaskie;15283;12,10;0;5;;
Świdwin;powiat świdwiński;zachodniopomorskie;15197;22,40;0;5;;
Radzyń Podlaski;powiat radzyński;lubelskie;15182;19,30;0;5;;
Nisko;powiat niżański;podkarpackie;15048;61,00;0;5;;
Złotoryja;powiat złotoryjski;dolnośląskie;15021;11,50;0;5;;
Boguszów-Gorce;powiat wałbrzyski;dolnośląskie;15016;27,00;0;5;;
Limanowa;powiat limanowski;małopolskie;15012;18,70;0;5;;
Przeworsk;powiat przeworski;podkarpackie;14973;22,10;0;5;;
Ustka;powiat słupski;pomorskie;14954;10,20;0;5;;
